OpenAlias asset_type,Asset Common Name,CAIP-19 suffix,,
sol,Solana,/slip44:501,,
tht,ThoughtAI,/slip44:502,,
cfx,Conflux,/slip44:503,,
kuma,Kumacoin,/slip44:504,,
hash,Provenance,/slip44:505,,
cspr,Casper,/slip44:506,,
earth,EARTH,/slip44:507,,
egld,MultiversX,/slip44:508,,
chi,Xaya,/slip44:509,,
koto,Koto,/slip44:510,,
otc,?,/slip44:511,,
rxd,Radiant,/slip44:512,,
seelen,Seele-N,/slip44:513,,
aeth,AETH,/slip44:514,,
dna,Idena,/slip44:515,,
vee,Virtual Economy Era,/slip44:516,,
sierra,SierraCoin,/slip44:517,,
let,Linkeye,/slip44:518,,
bsc,Bitcoin Smart Contract,/slip44:519,,
btcv,BitcoinVIP,/slip44:520,,
aba,Dabacus,/slip44:521,,
scc,StakeCubeCoin,/slip44:522,,
edg,Edgeware,/slip44:523,,
ams,AmsterdamCoin,/slip44:524,,
goss,GOSSIP Coin,/slip44:525,,
bu,BUMO,/slip44:526,,
gram,GRAM,/slip44:527,,
yap,Yapstone,/slip44:528,,
scrt,Secret Network,/slip44:529,,
novo,Novo,/slip44:530,,
ghost,Ghost,/slip44:531,,
hst,HST,/slip44:532,,
prj,ProjectCoin,/slip44:533,,
you,YOUChain,/slip44:534,,
xhv,Haven Protocol,/slip44:535,,
bynd,Beyondcoin,/slip44:536,,
joys,Joys Digital,/slip44:537,,
val,Valorbit,/slip44:538,,
flow,Flow,/slip44:539,,
smesh,Spacemesh Coin,/slip44:540,,
scdo,SCDO,/slip44:541,,
iqs,IQ-Cash,/slip44:542,,
bind,Compendia,/slip44:543,,
coinevo,Coinevo,/slip44:544,,
scribe,Scribe,/slip44:545,,
hyn,Hyperion,/slip44:546,,
bhp,BHP,/slip44:547,,
bbc,BigBang Core,/slip44:548,,
mkf,MarketFinance,/slip44:549,,
xdc,XinFin,/slip44:550,,
str,Straightedge,/slip44:551,,
sum,Sumcoin,/slip44:552,,
hbc,HuobiChain,/slip44:553,,
bcs,Bitcoin Smart,/slip44:555,,
kts,Kratos,/slip44:556,,
lkr,Lkrcoin,/slip44:557,,
tao,Tao,/slip44:558,,
xwc,Whitecoin,/slip44:559,,
deal,DEAL,/slip44:560,,
nty,Nexty,/slip44:561,,
top,TOP NetWork,/slip44:562,,
ag,Agoric,/slip44:564,,
cico,Coinicles,/slip44:565,,
iris,Irisnet,/slip44:566,,
ncg,Nine Chronicles,/slip44:567,,
lrg,Large Coin,/slip44:568,,
sero,Super Zero Protocol,/slip44:569,,
bdx,Beldex,/slip44:570,,
ccxx,Counos X,/slip44:571,,
sls,Saluscoin,/slip44:572,,
srm,Serum,/slip44:573,,
vivt,VIDT Datalink,/slip44:575,,
bps,BitcoinPoS,/slip44:576,,
nkn,NKN,/slip44:577,,
icl,ILCOIN,/slip44:578,,
bono,Bonorum,/slip44:579,,
plc,PLATINCOIN,/slip44:580,,
dun,Dune,/slip44:581,,
dmch,Darmacash,/slip44:582,,
ctc,Creditcoin,/slip44:583,,
kelp,Haidai Network,/slip44:584,,
gbcr,GoldBCR,/slip44:585,,
xdag,XDAG,/slip44:586,,
prv,Incognito Privacy,/slip44:587,,
scap,SafeCapital,/slip44:588,,
tfuel,Theta Fuel,/slip44:589,,
gtm,Gentarium,/slip44:590,,
rnl,RentalChain,/slip44:591,,
grin,Grin,/slip44:592,,
mwc,MimbleWimbleCoin,/slip44:593,,
dock,Dock,/slip44:594,,
polyx,Polymesh,/slip44:595,,
diver,Divergenti,/slip44:596,,
xep,Electra Protocol,/slip44:597,,
apn,Apron,/slip44:598,,
tfc,Turbo File Coin,/slip44:599,,
ute,Unit-e,/slip44:600,,
mtc,Metacoin,/slip44:601,,
nc,NobodyCash,/slip44:602,,
xiny,Xinyuehu,/slip44:603,,
dyn,Dynamo,/slip44:604,,
bufs,Buffer,/slip44:605,,
stos,Stratos,/slip44:606,,
ton,TON,/slip44:607,,
taft,TAFT,/slip44:608,,
hydra,HYDRA,/slip44:609,,
nor,Noir,/slip44:610,,
wcn,Widecoin,/slip44:613,,
opt,Optimistic Ethereum,/slip44:614,,
pswap,PolkaSwap,/slip44:615,,
val,Validator,/slip44:616,,
xor,Sora,/slip44:617,,
ssp,SmartShare,/slip44:618,,
dei,DeimosX,/slip44:619,,
zero,Singularity,/slip44:621,,
alpha,AlphaDAO,/slip44:622,,
bdeco,BDCashProtocol Ecosystem,/slip44:623,,
nobl,Nobility,/slip44:624,,
east,Eastcoin,/slip44:625,,
kda,Kadena,/slip44:626,,
soul,Phantasma,/slip44:627,,
lore,Gitopia,/slip44:628,,
fnr,Fincor,/slip44:629,,
nexus,Nexus,/slip44:630,,
qtz,Quartz,/slip44:631,,
mas,Massa,/slip44:632,,
call,Callchain,/slip44:633,,
val,Validity,/slip44:634,,
pokt,Pocket Network,/slip44:635,,
emit,EMIT,/slip44:636,,
aptos,Aptos,/slip44:637,,
adon,ADON,/slip44:638,,
btsg,BitSong,/slip44:639,,
lfc,Leofcoin,/slip44:640,,
kcs,KuCoin Shares,/slip44:641,,
kcc,KuCoin Community Chain,/slip44:642,,
azero,Aleph Zero,/slip44:643,,
tree,Tree,/slip44:644,,
lx,Lynx,/slip44:645,,
xln,Lunarium,/slip44:646,,
cic,CIC Chain,/slip44:647,,
zrb,Zarb,/slip44:648,,
